City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Tahoua,NE,14.8888,5.2692,75.33,72,100,22.21,overcast clouds
299,Gheorgheni,RO,46.7167,25.6167,56.89,95,100,3.15,overcast clouds
300,Churapcha,RU,62.0025,132.4325,41.49,93,100,5.35,moderate rain
301,Altamira,BR,-3.2033,-52.2064,75.58,60,5,2.8,clear sky
302,Nanakuli,US,21.3906,-158.1547,85.98,51,20,13.8,few clouds
303,Sola,VU,-13.8833,167.55,79.74,75,68,22.55,broken clouds
304,San Jeronimo,PE,-11.9472,-75.2829,51.12,69,30,3.53,scattered clouds
305,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,85,100,7.67,overcast clouds
306,Port-Gentil,GA,-0.7193,8.7815,76.24,83,100,11.68,overcast clouds
307,Champasak,LA,14.75,106.0,85.12,69,12,0.96,few clouds
308,Muhos,FI,64.808,25.9931,42.58,76,80,6.15,broken clouds
309,Safaga,EG,26.7292,33.9365,85.46,54,0,13.85,clear sky
310,Nokaneng,BW,-19.6667,22.2667,60.35,52,0,12.75,clear sky
311,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.16,66,2,8.61,clear sky
312,Pedernales,DO,18.0384,-71.744,81.3,76,97,1.86,overcast clouds
313,Pringsewu,ID,-5.3582,104.9744,81.19,82,44,1.97,scattered clouds
314,Zarasai,LT,55.7333,26.25,42.89,90,33,5.77,scattered clouds
315,Grand Forks,US,47.9417,-97.4337,71.33,73,0,9.22,clear sky
316,Makat,KZ,47.6469,53.3463,76.51,26,4,8.34,clear sky
317,Bonavista,CA,48.6499,-53.1147,63.93,94,27,9.69,scattered clouds
318,Kitimat,CA,54.0524,-128.6534,67.91,56,81,5.08,broken clouds
319,Spineni,RO,44.7,24.5667,65.16,79,60,6.17,broken clouds
320,Bengkulu,ID,-3.8004,102.2655,78.13,85,100,2.28,overcast clouds
321,Tanete,ID,-3.9443,119.7848,86.29,60,15,11.79,few clouds
322,Pingliang,CN,35.5392,106.6861,70.07,42,15,6.55,few clouds
323,Leh,IN,34.1667,77.5833,58.66,52,7,6.62,clear sky
324,Tocache,PE,-8.1842,-76.5125,76.12,65,99,1.25,overcast clouds
325,Ambon,ID,-3.6954,128.1814,84.34,84,40,3.44,scattered clouds
